index,reference,lut_real,fast_real,exact_int
158,3316.99999998825660441,3317.015625000,3317.070312500,3317
159,3352.99999998821294867,3353.031250000,3353.078125000,3353
160,3147.99999998828570824,3148.031250000,3148.054687500,3148
161,3351.99999998830026016,3352.015625000,3352.054687500,3352
162,3115.99999998827115633,3116.031250000,3116.070312500,3116
163,3194.99999998818384483,3195.031250000,3195.078125000,3195
164,3303.99999998828570824,3304.031250000,3304.062500000,3304
165,3236.99999998827115633,3237.023437500,3237.054687500,3237
166,3156.99999998827115633,3157.031250000,3157.078125000,3157
167,3316.99999998821294867,3317.023437500,3317.054687500,3317
168,3289.99999998828570824,3290.031250000,3290.046875000,3290
169,3750.99999998830026016,3751.023437500,3751.054687500,3751
170,3632.99999998832936399,3633.015625000,3633.054687500,3633
171,3648.99999998827115633,3649.015625000,3649.062500000,3649
172,3341.99999998828570824,3342.031250000,3342.085937500,3342
173,3523.99999998827115633,3524.015625000,3524.054687500,3524
174,3676.99999998837301973,3677.015625000,3677.039062500,3677
175,3521.99999998827115633,3522.023437500,3522.062500000,3522
176,3781.99999998837301973,3782.031250000,3782.062500000,3782
177,3600.99999998827115633,3601.007812500,3601.039062500,3601
178,3566.99999998827115633,3567.031250000,3567.062500000,3567
179,3471.99999998819839675,3472.023437500,3472.062500000,3472
180,3740.99999998828570824,3741.023437500,3741.070312500,3741
181,3506.99999998822750058,3507.000000000,3507.039062500,3507
182,3680.99999998828570824,3681.023437500,3681.054687500,3681
183,3737.99999998819839675,3738.015625000,3738.039062500,3738
184,3718.99999998834391590,3719.031250000,3719.054687500,3719
185,3639.99999998824205250,3640.007812500,3640.046875000,3640
186,3980.99999998824205250,3981.046875000,3981.070312500,3981
187,3856.99999998822750058,3857.023437500,3857.062500000,3857
188,3884.99999998828570824,3885.023437500,3885.054687500,3885
189,3852.99999998825660441,3853.007812500,3853.039062500,3853
190,4008.99999998834391590,4009.015625000,4009.039062500,4009
191,3611.99999998818384483,3612.023437500,3612.046875000,3612
192,4117.99999998843122739,4118.039062500,4118.046875000,4118
193,4059.99999998834391590,4060.023437500,4060.062500000,4060
194,3934.99999998832936399,3935.031250000,3935.070312500,3935
195,3929.99999998824205250,3930.023437500,3930.070312500,3930
196,3846.99999998831481207,3847.046875000,3847.062500000,3847
197,3838.99999998830026016,3839.007812500,3839.039062500,3839
198,4026.99999998837301973,4027.015625000,4027.070312500,4027
199,4144.99999998830026016,4145.031250000,4145.062500000,4145
200,4129.99999998835846782,4130.039062500,4130.070312500,4130
201,3990.99999998834391590,3991.007812500,3991.046875000,3991
202,4102.99999998835846782,4103.039062500,4103.078125000,4103
203,4016.99999998828570824,4017.015625000,4017.070312500,4017
