x_center,weight,native_sin,native_cos,std_sin,std_cos
-2.551010050,3.067970276e-03,8.573710167e-01,1.703890831e+00,3.573447420e-01,3.668169247e-01
-2.547942089,3.067970276e-03,9.021544774e-01,1.618434391e+00,3.575331520e-01,3.636544708e-01
-2.544874127,3.067970276e-03,9.397505192e-01,1.547733499e+00,3.561575539e-01,3.625856943e-01
-2.541806166,3.067970276e-03,9.867344323e-01,1.489480153e+00,3.549618430e-01,3.600610765e-01
-2.538738204,3.067970276e-03,1.032248026e+00,1.434669205e+00,3.544325236e-01,3.599542507e-01
-2.535670242,3.067970276e-03,1.086933173e+00,1.378399236e+00,3.543304447e-01,3.593461202e-01
-2.532602281,3.067970276e-03,1.147534722e+00,1.323436382e+00,3.527942699e-01,3.571248390e-01
-2.529534319,3.067970276e-03,1.218657955e+00,1.260471523e+00,3.524521981e-01,3.582178341e-01
-2.526466358,3.067970276e-03,1.300593577e+00,1.191732216e+00,3.523896429e-01,3.554873366e-01
-2.523398396,3.067731857e-03,1.393447987e+00,1.114656284e+00,3.503851505e-01,3.540911007e-01
-2.520330434,3.067970276e-03,1.491161152e+00,1.031084025e+00,3.533058196e-01,3.539553786e-01
-2.517262473,3.067970276e-03,1.603422883e+00,9.480207802e-01,3.491547411e-01,3.578039816e-01
-2.514194511,3.067970276e-03,1.732364772e+00,8.742475718e-01,3.516813557e-01,3.500042352e-01
-2.511126550,3.067970276e-03,1.849615454e+00,8.062330074e-01,3.491858180e-01,3.516880385e-01
-2.508058588,3.067970276e-03,1.951382385e+00,7.512133367e-01,3.488087522e-01,3.481391996e-01
-2.504990627,3.067970276e-03,2.048421596e+00,7.079375857e-01,3.500280264e-01,3.503322015e-01
-2.501922665,3.067970276e-03,7.512310488e-01,1.743128104e+00,3.496636943e-01,3.499116325e-01
-2.498854703,3.067970276e-03,7.572538697e-01,1.701007057e+00,3.493308645e-01,3.484944576e-01
-2.495786742,3.067970276e-03,7.627168188e-01,1.671953362e+00,3.496388862e-01,3.478051173e-01
-2.492718780,3.067970276e-03,7.630716758e-01,1.651489919e+00,3.499079472e-01,3.511805696e-01
-2.489650819,3.067970276e-03,7.639485053e-01,1.642699056e+00,3.498744590e-01,3.484569793e-01
-2.486582857,3.067970276e-03,7.610016084e-01,1.627543990e+00,3.494377177e-01,3.459868285e-01
-2.483514896,3.067970276e-03,7.615645499e-01,1.605799854e+00,3.496343088e-01,3.440333816e-01
-2.480446934,3.067970276e-03,7.641312296e-01,1.579353076e+00,3.513285809e-01,3.435644277e-01
-2.477378972,3.067970276e-03,7.711447018e-01,1.549245525e+00,3.513394158e-01,3.450869415e-01
-2.474311011,3.067970276e-03,7.787840439e-01,1.510388341e+00,3.517337343e-01,3.454615120e-01
-2.471243049,3.067970276e-03,7.924041419e-01,1.456245304e+00,3.516663262e-01,3.455085317e-01
-2.468175088,3.067970276e-03,8.055829396e-01,1.404791428e+00,3.534232971e-01,3.444383829e-01
-2.465107126,3.067970276e-03,8.308985243e-01,1.354957161e+00,3.531770983e-01,3.461755509e-01
-2.462039165,3.067970276e-03,8.565362087e-01,1.303278554e+00,3.564536231e-01,3.437888116e-01
-2.458971203,3.067970276e-03,8.714526074e-01,1.261461431e+00,3.536907515e-01,3.442255353e-01
-2.455903241,3.067970276e-03,8.821130872e-01,1.237143249e+00,3.554861886e-01,3.448028371e-01
-2.452835280,3.067970276e-03,8.032941978e-01,1.910188740e+00,3.561536282e-01,3.457809963e-01
-2.449767318,3.067970276e-03,8.093704789e-01,1.799435963e+00,3.567445428e-01,3.457003138e-01
-2.446699357,3.067970276e-03,8.088870482e-01,1.744811176e+00,3.584957577e-01,3.451290427e-01
-2.443631395,3.067970276e-03,8.027874777e-01,1.701898571e+00,3.587915991e-01,3.506078871e-01
-2.440563434,3.067970276e-03,8.026043899e-01,1.663871044e+00,3.588689817e-01,3.479136430e-01
-2.437495472,3.067731857e-03,7.964850835e-01,1.620365686e+00,3.604107322e-01,3.482177791e-01
-2.434427510,3.067970276e-03,7.922783792e-01,1.576687126e+00,3.620911723e-01,3.550306153e-01
-2.431359549,3.067970276e-03,7.925451434e-01,1.527925303e+00,3.623260209e-01,3.620172645e-01
-2.428291587,3.067970276e-03,7.932646293e-01,1.470320531e+00,3.644605470e-01,3.623737630e-01
-2.425223626,3.067970276e-03,7.980681461e-01,1.405240212e+00,3.645329594e-01,3.628848903e-01
-2.422155664,3.067970276e-03,8.077382229e-01,1.335917108e+00,3.657778661e-01,3.623529011e-01
-2.419087702,3.067970276e-03,8.217068168e-01,1.270054364e+00,3.676282358e-01,3.639659795e-01
-2.416019741,3.067970276e-03,8.299817833e-01,1.200107538e+00,3.681244600e-01,3.648204162e-01
-2.412951779,3.067970276e-03,8.457360907e-01,1.134166913e+00,3.677761129e-01,3.663985902e-01
-2.409883818,3.067970276e-03,8.495511751e-01,1.078699452e+00,3.683255100e-01,3.682647762e-01
-2.406815856,3.067970276e-03,8.451546696e-01,1.047583979e+00,3.688288190e-01,3.691041811e-01
