log2_x,count,native_sin,native_cos,std_sin,std_cos
-103,16777216,6.917413810e-38,0.000000000e+00,0.000000000e+00,0.000000000e+00
-102,16777216,1.383482762e-37,0.000000000e+00,0.000000000e+00,0.000000000e+00
-101,16777216,2.766965524e-37,0.000000000e+00,0.000000000e+00,0.000000000e+00
-100,16777216,5.533931048e-37,0.000000000e+00,0.000000000e+00,0.000000000e+00
-99,16777216,1.106786210e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00
-98,16777216,2.213572419e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00
-97,16777216,4.427144838e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00
-96,16777216,8.854289677e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00
-95,16777216,1.770857935e-35,0.000000000e+00,0.000000000e+00,0.000000000e+00
-94,16777216,3.541715871e-35,0.000000000e+00,0.000000000e+00,0.000000000e+00
-93,16777216,7.083431742e-35,0.000000000e+00,0.000000000e+00,0.000000000e+00
-92,16777216,1.416686348e-34,0.000000000e+00,0.000000000e+00,0.000000000e+00
-91,16777216,2.833372697e-34,0.000000000e+00,0.000000000e+00,0.000000000e+00
-90,16777216,5.666745393e-34,0.000000000e+00,0.000000000e+00,0.000000000e+00
-89,16777216,1.133349079e-33,0.000000000e+00,0.000000000e+00,0.000000000e+00
-88,16777216,2.266698157e-33,0.000000000e+00,0.000000000e+00,0.000000000e+00
-87,16777216,4.533396315e-33,0.000000000e+00,0.000000000e+00,0.000000000e+00
-86,16777216,9.066792629e-33,0.000000000e+00,0.000000000e+00,0.000000000e+00
-85,16777216,1.813358526e-32,0.000000000e+00,0.000000000e+00,0.000000000e+00
-84,16777216,3.626717052e-32,0.000000000e+00,0.000000000e+00,0.000000000e+00
-83,16777216,7.253434103e-32,0.000000000e+00,0.000000000e+00,0.000000000e+00
-82,16777216,1.450686821e-31,0.000000000e+00,0.000000000e+00,0.000000000e+00
-81,16777216,2.901373641e-31,0.000000000e+00,0.000000000e+00,0.000000000e+00
-80,16777216,5.802747283e-31,0.000000000e+00,0.000000000e+00,0.000000000e+00
-79,16777216,1.160549457e-30,0.000000000e+00,0.000000000e+00,0.000000000e+00
-78,16777216,2.321098913e-30,0.000000000e+00,0.000000000e+00,0.000000000e+00
-77,16777216,4.642197826e-30,0.000000000e+00,0.000000000e+00,0.000000000e+00
-76,16777216,9.284395652e-30,0.000000000e+00,0.000000000e+00,0.000000000e+00
-75,16777216,1.856879130e-29,0.000000000e+00,0.000000000e+00,0.000000000e+00
-74,16777216,3.713758261e-29,0.000000000e+00,0.000000000e+00,0.000000000e+00
-73,16777216,7.427516522e-29,0.000000000e+00,0.000000000e+00,0.000000000e+00
-72,16777216,1.485503304e-28,0.000000000e+00,0.000000000e+00,0.000000000e+00
-71,16777216,2.971006609e-28,0.000000000e+00,0.000000000e+00,0.000000000e+00
-70,16777216,5.942013217e-28,0.000000000e+00,0.000000000e+00,0.000000000e+00
-69,16777216,1.188402643e-27,0.000000000e+00,0.000000000e+00,0.000000000e+00
-68,16777216,2.376805287e-27,0.000000000e+00,0.000000000e+00,0.000000000e+00
-67,16777216,4.753610574e-27,0.000000000e+00,0.000000000e+00,0.000000000e+00
-66,16777216,9.507221148e-27,0.000000000e+00,0.000000000e+00,0.000000000e+00
-65,16777216,1.901444230e-26,0.000000000e+00,0.000000000e+00,0.000000000e+00
-64,16777216,3.802888459e-26,0.000000000e+00,0.000000000e+00,0.000000000e+00
-63,16777216,7.605776918e-26,0.000000000e+00,0.000000000e+00,0.000000000e+00
-62,16777216,1.521155384e-25,0.000000000e+00,0.000000000e+00,0.000000000e+00
-61,16777216,3.042310767e-25,0.000000000e+00,0.000000000e+00,0.000000000e+00
-60,16777216,6.084621535e-25,0.000000000e+00,0.000000000e+00,0.000000000e+00
-59,16777216,1.216924307e-24,0.000000000e+00,0.000000000e+00,0.000000000e+00
-58,16777216,2.433848614e-24,0.000000000e+00,0.000000000e+00,0.000000000e+00
