x_center,weight,fast_sin,fast_cos,std_sin,std_cos
-2.882349900,3.067970276e-03,1.777895458e+00,1.413207558e+00,2.536499130e-01,2.525206909e-01
-2.879281939,3.067970276e-03,2.702748945e+00,9.576299245e-01,2.536682248e-01,2.529012717e-01
-2.876213977,3.067970276e-03,2.894972373e+00,4.801621352e-01,2.535875945e-01,2.528535107e-01
-2.873146016,3.067970276e-03,1.802798489e+00,3.286147182e-01,2.538937678e-01,2.531055846e-01
-2.870078054,3.067970276e-03,2.017377036e+00,1.550947547e+00,2.535810055e-01,2.531411511e-01
-2.867010093,3.067970276e-03,3.476640262e+00,1.936682066e+00,2.535893328e-01,2.532887002e-01
-2.863942131,3.067970276e-03,3.210443334e+00,1.875232387e+00,2.536044387e-01,2.535489492e-01
-2.860874169,3.067970276e-03,1.974636871e+00,1.654069564e+00,2.536327942e-01,2.536083226e-01
-2.857806208,3.067731857e-03,1.663265026e+00,1.165319911e+00,2.535999802e-01,2.535906254e-01
-2.854738246,3.067970276e-03,2.537512525e+00,8.613489155e-01,2.536064748e-01,2.537421168e-01
-2.851670285,3.067970276e-03,2.887819811e+00,6.620258672e-01,2.547505205e-01,2.538165806e-01
-2.848602323,3.067970276e-03,1.838448886e+00,8.122755757e-01,2.537381026e-01,2.540280427e-01
-2.845534362,3.067970276e-03,1.694842223e+00,9.658769854e-01,2.536862255e-01,2.545516239e-01
-2.842466400,3.067970276e-03,2.091445631e+00,1.869493191e+00,2.536692471e-01,2.546142583e-01
-2.839398438,3.067970276e-03,1.963337503e+00,2.201253543e+00,2.536919544e-01,2.547141762e-01
-2.836330477,3.067970276e-03,1.560655070e+00,2.219925303e+00,2.538775181e-01,2.542634458e-01
-2.833262515,3.067970276e-03,1.970998609e+00,1.860349619e+00,2.540305076e-01,2.551615848e-01
-2.830194554,3.067970276e-03,2.790052800e+00,1.552490594e+00,2.539354422e-01,2.550600410e-01
-2.827126592,3.067970276e-03,2.534014134e+00,1.232107209e+00,2.539100440e-01,2.553848086e-01
-2.824058630,3.067970276e-03,1.807594267e+00,1.181017211e+00,2.536692287e-01,2.560105934e-01
-2.820990669,3.067970276e-03,2.389747092e+00,1.595651217e+00,2.539873455e-01,2.558123720e-01
-2.817922707,3.067970276e-03,3.362078402e+00,1.558460616e+00,2.541531570e-01,2.561286766e-01
-2.814854746,3.067970276e-03,2.555605778e+00,1.194951854e+00,2.540761468e-01,2.565995555e-01
-2.811786784,3.067970276e-03,1.606147035e+00,8.680885052e-01,2.541540271e-01,2.572200982e-01
-2.808718823,3.067970276e-03,2.119054058e+00,5.449050388e-01,2.541820326e-01,2.573404263e-01
-2.805650861,3.067970276e-03,3.343000583e+00,5.631617019e-01,2.542459137e-01,2.573331193e-01
-2.802582899,3.067970276e-03,3.280719145e+00,8.836368983e-01,2.543910806e-01,2.589551959e-01
-2.799514938,3.067970276e-03,1.829575588e+00,1.877880819e+00,2.542375592e-01,2.576180630e-01
-2.796446976,3.067970276e-03,1.759532913e+00,6.856607132e-01,2.543914240e-01,2.579607011e-01
-2.793379015,3.067970276e-03,2.720877955e+00,9.164378519e-01,2.544068136e-01,2.585734977e-01
-2.790311053,3.067970276e-03,2.847619811e+00,8.109860508e-01,2.544547196e-01,2.588883604e-01
-2.787243092,3.067970276e-03,1.888416804e+00,6.450484059e-01,2.548470703e-01,2.595752965e-01
-2.784175130,3.067970276e-03,1.621569622e+00,4.454627114e-01,2.546502163e-01,2.606355686e-01
-2.781107168,3.067970276e-03,2.544755173e+00,4.613464176e-01,2.546213480e-01,2.606707527e-01
-2.778039207,3.067970276e-03,3.156777380e+00,6.926022902e-01,2.548665049e-01,2.611945100e-01
-2.774971245,3.067731857e-03,2.119568453e+00,1.567143420e+00,2.547384541e-01,2.609393465e-01
-2.771903284,3.067970276e-03,1.882268336e+00,1.185126436e+00,2.547144813e-01,2.618687517e-01
-2.768835322,3.067970276e-03,2.397448320e+00,2.055397859e+00,2.549054877e-01,2.624542094e-01
-2.765767361,3.067970276e-03,2.753385896e+00,2.295750995e+00,2.550016351e-01,2.625602030e-01
-2.762699399,3.067970276e-03,1.980533610e+00,2.213212188e+00,2.547874551e-01,2.628221042e-01
-2.759631437,3.067970276e-03,1.520086100e+00,1.777948608e+00,2.550140766e-01,2.638239235e-01
-2.756563476,3.067970276e-03,1.977582729e+00,1.453270873e+00,2.549513127e-01,2.659871498e-01
-2.753495514,3.067970276e-03,2.262694973e+00,1.201923122e+00,2.547867881e-01,2.644552847e-01
-2.750427553,3.067970276e-03,1.649052486e+00,1.351113335e+00,2.544927759e-01,2.647151159e-01
-2.747359591,3.067970276e-03,2.096150681e+00,2.062312935e+00,2.551201708e-01,2.662432316e-01
-2.744291630,3.067970276e-03,3.314710579e+00,2.181256382e+00,2.551242021e-01,2.658271712e-01
-2.741223668,3.067970276e-03,2.830315676e+00,1.860675754e+00,2.551404646e-01,2.662162538e-01
-2.738155706,3.067970276e-03,1.759139308e+00,1.435368042e+00,2.553317981e-01,2.675268612e-01
-2.735087745,3.067970276e-03,1.607667029e+00,8.921146886e-01,2.553351663e-01,2.674610159e-01
-2.732019783,3.067970276e-03,2.160739021e+00,7.086817642e-01,2.557344206e-01,2.679366815e-01
-2.728951822,3.067970276e-03,2.045140991e+00,8.253394065e-01,2.565514795e-01,2.690662683e-01
-2.725883860,3.067970276e-03,1.864069479e+00,1.583485497e+00,2.552236752e-01,2.696235495e-01
-2.722815898,3.067970276e-03,2.629661859e+00,1.620742263e+00,2.552186336e-01,2.701933849e-01
-2.719747937,3.067970276e-03,3.683046199e+00,2.423596138e+00,2.551736871e-01,2.701643818e-01
-2.716679975,3.067970276e-03,2.872838924e+00,2.584879353e+00,2.551135596e-01,2.709054748e-01
-2.713612014,3.067970276e-03,1.684946787e+00,2.442361625e+00,2.551361511e-01,2.723055525e-01
-2.710544052,3.067970276e-03,1.695974341e+00,1.989959796e+00,2.550291186e-01,2.720675489e-01
-2.707476091,3.067970276e-03,2.439520328e+00,1.713462125e+00,2.549439236e-01,2.731664290e-01
-2.704408129,3.067970276e-03,2.277653468e+00,1.596199372e+00,2.552100769e-01,2.736568351e-01
-2.701340167,3.067970276e-03,1.794867628e+00,1.989030454e+00,2.550634818e-01,2.743600088e-01
-2.698272206,3.067970276e-03,1.570178384e+00,1.540379518e+00,2.548378990e-01,2.761021389e-01
-2.695204244,3.067970276e-03,1.957317352e+00,1.930403343e+00,2.545774623e-01,2.768792729e-01
-2.692136283,3.067970276e-03,1.655937406e+00,1.805743649e+00,2.546410035e-01,2.770373201e-01
-2.689068321,3.067731857e-03,1.519330737e+00,1.526614333e+00,2.549053416e-01,2.788028636e-01
-2.686000360,3.067970276e-03,2.464772644e+00,1.089858266e+00,2.542112542e-01,2.791630242e-01
-2.682932398,3.067970276e-03,3.425085119e+00,9.909792410e-01,2.542065070e-01,2.793036872e-01
-2.679864436,3.067970276e-03,2.976704072e+00,1.215222272e+00,2.541228744e-01,2.812460106e-01
-2.676796475,3.067970276e-03,1.741221917e+00,2.137631580e+00,2.538935957e-01,2.814826704e-01
-2.673728513,3.067970276e-03,1.711791700e+00,9.136337844e-01,2.539219028e-01,2.828088472e-01
-2.670660552,3.067970276e-03,2.498170324e+00,1.086551884e+00,2.535402355e-01,2.835068102e-01
-2.667592590,3.067970276e-03,2.091825996e+00,8.796058041e-01,2.533619447e-01,2.842878355e-01
-2.664524629,3.067970276e-03,1.480670655e+00,6.467741775e-01,2.532335059e-01,2.851669921e-01
-2.661456667,3.067970276e-03,1.877994954e+00,4.782919407e-01,2.529874084e-01,2.850897441e-01
-2.658388705,3.067970276e-03,2.715126955e+00,5.394130231e-01,2.529125192e-01,2.882991278e-01
-2.655320744,3.067970276e-03,2.503707100e+00,1.003752937e+00,2.526290820e-01,2.885128232e-01
-2.652252782,3.067970276e-03,1.696681853e+00,2.408370306e+00,2.525301374e-01,2.893633570e-01
-2.649184821,3.067970276e-03,2.073145280e+00,1.283294943e+00,2.523517964e-01,2.905945372e-01
-2.646116859,3.067970276e-03,2.978514510e+00,1.919837350e+00,2.520639629e-01,2.920937032e-01
-2.643048898,3.067970276e-03,2.340823373e+00,1.952771007e+00,2.670417709e-01,2.930521219e-01
-2.639980936,3.067970276e-03,1.511866751e+00,1.732003627e+00,8.446605932e-01,2.573701418e-01
-2.636912974,3.067970276e-03,1.722902805e+00,1.296246576e+00,8.384598483e-01,2.577547490e-01
-2.633845013,3.067970276e-03,2.391982720e+00,1.146638367e+00,8.485800072e-01,2.571483298e-01
-2.630777051,3.067970276e-03,2.107198916e+00,1.306019814e+00,8.502907926e-01,2.573416226e-01
-2.627709090,3.067970276e-03,1.875732619e+00,2.155644253e+00,8.516876213e-01,2.569904044e-01
