x,x_over_pi,native_sin,ref,abs_err
np.float32(102940.836),32767.085771,np.float32(-0.2662122),np.float64(-0.2662083813759115),3.813782e-06
np.float32(102940.84),32767.088258,np.float32(-0.27373457),np.float64(-0.27373077064754187),3.798902e-06
np.float32(102940.85),32767.090745,np.float32(-0.28124025),np.float64(-0.2812364528037923),3.801837e-06
np.float32(102940.86),32767.093231,np.float32(-0.28872877),np.float64(-0.28872496973650974),3.803857e-06
np.float32(102940.87),32767.095718,np.float32(-0.29619965),np.float64(-0.29619586438521794),3.785187e-06
np.float32(102940.875),32767.098205,np.float32(-0.30365247),np.float64(-0.30364868076501383),3.784578e-06
np.float32(102940.88),32767.100692,np.float32(-0.31108674),np.float64(-0.31108296399439894),3.780076e-06
np.float32(102940.89),32767.103179,np.float32(-0.318502),np.float64(-0.31849826032304257),3.748592e-06
np.float32(102940.9),32767.105665,np.float32(-0.32589787),np.float64(-0.32589411715947675),3.755288e-06
np.float32(102940.91),32767.108152,np.float32(-0.33327383),np.float64(-0.33327008309871975),3.744931e-06
np.float32(102940.914),32767.110639,np.float32(-0.34062943),np.float64(-0.3406257079498278),3.720675e-06
np.float32(102940.92),32767.113126,np.float32(-0.34796426),np.float64(-0.34796054276337235),3.714239e-06
np.float32(102940.93),32767.115612,np.float32(-0.35527784),np.float64(-0.3552741398588414),3.696464e-06
np.float32(102940.94),32767.118099,np.float32(-0.36256975),np.float64(-0.36256605285196397),3.696503e-06
np.float32(102940.945),32767.120586,np.float32(-0.36983952),np.float64(-0.36983583668195485),3.682580e-06
np.float32(102940.95),32767.123073,np.float32(-0.3770867),np.float64(-0.37708304763867895),3.651370e-06
np.float32(102940.96),32767.125560,np.float32(-0.3843109),np.float64(-0.38430724338973293),3.657775e-06
np.float32(102940.97),32767.128046,np.float32(-0.39151162),np.float64(-0.39150798300744305),3.636084e-06
np.float32(102940.98),32767.130533,np.float32(-0.39868847),np.float64(-0.398684826995777),3.638361e-06
np.float32(102940.984),32767.133020,np.float32(-0.40584093),np.float64(-0.40583733731716853),3.596006e-06
np.float32(102940.99),32767.135507,np.float32(-0.4129687),np.float64(-0.41296507741925315),3.617744e-06
np.float32(102941.0),32767.137994,np.float32(-0.4200712),np.float64(-0.42006761226151257),3.602176e-06
np.float32(102941.01),32767.140480,np.float32(-0.4271481),np.float64(-0.427144508341828),3.595372e-06
np.float32(102941.016),32767.142967,np.float32(-0.4341989),np.float64(-0.4341953337229383),3.552433e-06
np.float32(102941.02),32767.145454,np.float32(-0.4412232),np.float64(-0.4412196580588034),3.546077e-06
np.float32(102941.03),32767.147941,np.float32(-0.44822058),np.float64(-0.44821705262087075),3.528195e-06
np.float32(102941.04),32767.150428,np.float32(-0.45519063),np.float64(-0.455187090324242),3.538443e-06
np.float32(102941.05),32767.152914,np.float32(-0.46213287),np.float64(-0.46212934575374076),3.525397e-06
np.float32(102941.055),32767.155401,np.float32(-0.4690469),np.float64(-0.4690433951898772),3.495546e-06
np.float32(102941.06),32767.157888,np.float32(-0.4759323),np.float64(-0.4759288166347102),3.483456e-06
np.float32(102941.07),32767.160375,np.float32(-0.48278865),np.float64(-0.48278518983760343),3.462344e-06
np.float32(102941.08),32767.162862,np.float32(-0.48961553),np.float64(-0.4896120963208757),3.433455e-06
np.float32(102941.086),32767.165348,np.float32(-0.49641258),np.float64(-0.49640911940534244),3.455840e-06
np.float32(102941.09),32767.167835,np.float32(-0.5031793),np.float64(-0.5031758442357477),3.467517e-06
np.float32(102941.1),32767.170322,np.float32(-0.5099153),np.float64(-0.5099118578060848),3.434457e-06
np.float32(102941.11),32767.172809,np.float32(-0.51662016),np.float64(-0.5166167489848041),3.410164e-06
np.float32(102941.12),32767.175296,np.float32(-0.5232935),np.float64(-0.5232901085399065),3.386638e-06
np.float32(102941.125),32767.177782,np.float32(-0.5299349),np.float64(-0.5299315291639203),3.353954e-06
np.float32(102941.13),32767.180269,np.float32(-0.53654397),np.float64(-0.5365406054987619),3.359841e-06
np.float32(102941.14),32767.182756,np.float32(-0.54312027),np.float64(-0.5431169341604761),3.330847e-06
np.float32(102941.15),32767.185243,np.float32(-0.5496634),np.float64(-0.5496601137638573),3.310728e-06
np.float32(102941.16),32767.187730,np.float32(-0.556173),np.float64(-0.5561697449469469),3.281615e-06
