x_center,weight,native_sin,native_cos,std_sin,std_cos
-3.011204287,3.067970276e-03,5.266196951e-01,2.518940476e-01,2.650928324e-01,4.133149526e-01
-3.008136325,3.067970276e-03,1.133138928e+00,2.611850578e-01,2.645803754e-01,4.125534209e-01
-3.005068363,3.067970276e-03,8.461868298e-01,2.699361955e-01,2.648312618e-01,4.094181089e-01
-3.002000402,3.067970276e-03,2.149023638e+00,2.650812871e-01,2.646793051e-01,4.087249924e-01
-2.998932440,3.067970276e-03,1.882887807e+00,2.596600246e-01,2.643562943e-01,4.128829312e-01
-2.995864479,3.067970276e-03,1.101727216e+00,2.694554370e-01,2.638904516e-01,4.050038022e-01
-2.992796517,3.067970276e-03,1.589533523e+00,2.918352980e-01,2.637663811e-01,4.072521930e-01
-2.989728556,3.067970276e-03,1.422925776e+00,3.646843416e-01,2.633691166e-01,4.058008275e-01
-2.986660594,3.067970276e-03,1.449307602e+00,4.501306268e-01,2.635552069e-01,4.016611567e-01
-2.983592632,3.067970276e-03,1.823598737e+00,4.172450929e-01,2.627162192e-01,3.736300308e-01
-2.980524671,3.067970276e-03,9.698742434e-01,3.387491244e-01,2.628373614e-01,3.718230597e-01
-2.977456709,3.067970276e-03,1.521533173e+00,3.034706234e-01,2.627781778e-01,3.713365419e-01
-2.974388748,3.067970276e-03,1.563434290e+00,2.571816691e-01,2.624510359e-01,3.662691077e-01
-2.971320786,3.067970276e-03,1.170991677e+00,2.742274664e-01,2.623682474e-01,3.660610829e-01
-2.968252825,3.067970276e-03,2.465824579e+00,2.879567155e-01,2.621060735e-01,3.634625199e-01
-2.965184863,3.067970276e-03,1.869985431e+00,2.800114213e-01,2.621645781e-01,3.605258600e-01
-2.962116901,3.067970276e-03,2.522771272e+00,2.712711617e-01,2.614448853e-01,3.596305476e-01
-2.959048940,3.067970276e-03,2.533607584e+00,2.826174213e-01,2.612823622e-01,3.622068567e-01
-2.955980978,3.067970276e-03,1.129395476e+00,3.537794849e-01,2.614282092e-01,3.593693353e-01
-2.952913017,3.067970276e-03,2.538703018e+00,3.651430857e-01,2.606814104e-01,3.582964552e-01
-2.949845055,3.067970276e-03,1.648679708e+00,3.438592222e-01,2.604249735e-01,3.568859319e-01
-2.946777094,3.067970276e-03,1.966090486e+00,3.279687376e-01,2.603773909e-01,3.533981663e-01
-2.943709132,3.067731857e-03,1.678517651e+00,2.891505790e-01,2.602437596e-01,3.537115248e-01
-2.940641170,3.067970276e-03,1.385477925e+00,3.203815358e-01,2.599133054e-01,3.544271263e-01
-2.937573209,3.067970276e-03,2.033059319e+00,3.025436803e-01,2.615861866e-01,3.513713360e-01
-2.934505247,3.067970276e-03,2.946775443e-01,2.879819583e-01,2.590617811e-01,3.526454076e-01
-2.931437286,3.067970276e-03,6.560112864e-01,3.129345437e-01,2.586645596e-01,3.470167432e-01
-2.928369324,3.067970276e-03,1.186435888e+00,2.563376328e-01,2.586800908e-01,3.506014769e-01
-2.925301362,3.067970276e-03,7.246858718e-01,2.758230208e-01,2.583678091e-01,3.481590659e-01
-2.922233401,3.067970276e-03,2.516122955e+00,2.865797622e-01,2.579614912e-01,3.476251809e-01
-2.919165439,3.067970276e-03,1.345946549e+00,2.869613546e-01,2.575936444e-01,3.486182815e-01
-2.916097478,3.067970276e-03,1.608695282e+00,3.237521066e-01,2.575873168e-01,3.474805160e-01
-2.913029516,3.067970276e-03,1.902523983e+00,2.774087861e-01,2.572584793e-01,3.464881494e-01
-2.909961555,3.067970276e-03,8.693627250e-01,2.927187849e-01,2.569599558e-01,3.467825038e-01
-2.906893593,3.067970276e-03,2.927946181e+00,2.732761644e-01,2.565430922e-01,3.461784651e-01
-2.903825631,3.067970276e-03,1.810959999e+00,2.622610408e-01,2.561830518e-01,3.448642406e-01
-2.900757670,3.067970276e-03,1.839907149e+00,2.902288082e-01,2.560648570e-01,3.437451753e-01
-2.897689708,3.067970276e-03,2.027791284e+00,6.297320848e-01,2.558711634e-01,3.435885042e-01
-2.894621747,3.067970276e-03,8.984702334e-01,3.187944083e-01,2.554303167e-01,3.466358121e-01
-2.891553785,3.067970276e-03,2.238524543e+00,2.530528226e-01,2.562037493e-01,3.428228484e-01
-2.888485824,3.067970276e-03,4.191744648e-01,2.753482931e-01,2.527034733e-01,3.586258318e-01
-2.885417862,3.067970276e-03,2.685131794e-01,3.144541881e-01,2.511458277e-01,3.382137527e-01
-2.882349900,3.067970276e-03,3.403030814e-01,3.157212363e-01,2.511182982e-01,3.414828667e-01
-2.879281939,3.067970276e-03,3.973193116e-01,2.540669573e-01,2.510878237e-01,3.358177670e-01
-2.876213977,3.067970276e-03,1.628788620e+00,2.674012137e-01,2.510157183e-01,3.377036376e-01
-2.873146016,3.067970276e-03,7.874027314e-01,2.764675097e-01,2.510639993e-01,3.409467702e-01
-2.870078054,3.067970276e-03,6.537022177e-01,3.184941768e-01,2.508883398e-01,3.367938465e-01
-2.867010093,3.067970276e-03,9.404523433e-01,3.213523977e-01,2.508700887e-01,3.392765714e-01
-2.863942131,3.067970276e-03,7.236141627e-01,2.589149390e-01,2.508099624e-01,3.491175061e-01
-2.860874169,3.067970276e-03,8.281021922e-01,2.759844714e-01,2.507260257e-01,3.404322583e-01
-2.857806208,3.067731857e-03,5.148446454e-01,2.681778041e-01,2.507163299e-01,3.408379644e-01
-2.854738246,3.067970276e-03,2.808993197e-01,2.715782043e-01,2.506406244e-01,3.406860601e-01
-2.851670285,3.067970276e-03,3.550215575e-01,2.796058152e-01,2.513368711e-01,3.399291307e-01
-2.848602323,3.067970276e-03,3.105070348e-01,3.053436025e-01,2.505296290e-01,3.400211935e-01
-2.845534362,3.067970276e-03,1.352975043e+00,3.783607631e-01,2.505615934e-01,3.224801897e-01
-2.842466400,3.067970276e-03,6.717252752e-01,3.690970973e-01,2.504460408e-01,3.165208388e-01
-2.839398438,3.067970276e-03,4.151163464e-01,3.573552985e-01,2.504081167e-01,3.174594062e-01
-2.836330477,3.067970276e-03,6.737061887e-01,4.314302356e-01,2.504115325e-01,3.184465337e-01
-2.833262515,3.067970276e-03,5.704722497e-01,2.837203440e-01,2.503165597e-01,3.158162527e-01
-2.830194554,3.067970276e-03,8.042767984e-01,2.505129855e-01,2.503610267e-01,3.176409625e-01
-2.827126592,3.067970276e-03,6.188832428e-01,2.531173946e-01,2.503316383e-01,3.206985349e-01
-2.824058630,3.067970276e-03,5.654200505e-01,2.711498970e-01,2.499256480e-01,3.212738608e-01
-2.820990669,3.067970276e-03,9.792673731e-01,3.985190937e-01,2.502293048e-01,3.269056001e-01
-2.817922707,3.067970276e-03,9.487610473e-01,2.680383546e-01,2.502141076e-01,3.224930750e-01
-2.814854746,3.067970276e-03,6.935049775e-01,2.967782437e-01,2.502005675e-01,3.230420206e-01
-2.811786784,3.067970276e-03,9.665379047e-01,3.269427207e-01,2.500200029e-01,3.235420935e-01
-2.808718823,3.067970276e-03,3.728248191e-01,3.364118972e-01,2.501523139e-01,3.339035073e-01
-2.805650861,3.067970276e-03,4.743798673e-01,4.969829294e-01,2.500946000e-01,3.234785178e-01
-2.802582899,3.067970276e-03,4.407672419e-01,3.540145902e-01,2.500841467e-01,3.283474359e-01
