index,ref_real,ref_imag,lut_real,lut_imag,lut_abs_err,lut_rel_err,fast_real,fast_imag,fast_abs_err,fast_rel_err
16,4.70723565279402361e-13,-6.43410623719656223e-13,9.22245305901014945e-07,-5.39772190677467734e-06,5.47594104907858824e-06,5.47594104907858837e+06,5.34178116140537895e-06,1.41662894748151302e-06,5.52643287710366569e-06,5.52643287710366584e+06
17,2.13023617334572125e-13,3.96985024186756970e-13,1.32902619043306913e-06,-9.36321782774029998e-07,1.62573345691656819e-06,1.62573345691656834e+06,1.23704580801131669e-06,-1.31734748265444068e-06,1.80712125771046832e-06,1.80712125771046826e+06
18,3.05912789527110599e-14,1.64585144643963287e-13,-4.97558971801481675e-08,-2.76471524784938083e-07,2.80913238156451100e-07,2.80913238156451087e+05,-4.97558687584387371e-08,-2.76471610050066374e-07,2.80913317039335423e-07,2.80913317039335438e+05
19,-9.17097751654394712e-14,-1.77063055197746594e-13,-4.68460143565607723e-07,-1.92315496860828716e-08,4.68854631925221589e-07,4.68854631925221591e+05,-6.48815188242224394e-08,-3.41596944508637534e-07,3.47703826717047462e-07,3.47703826717047486e+05
20,2.41651648837814802e-13,7.63471863452107918e-15,3.70387596149157616e-08,-5.01782324136001989e-07,5.03147453824598831e-07,5.03147453824598866e+05,3.70388164583346224e-08,-5.01782324136001989e-07,5.03147458009053293e-07,5.03147458009053313e+05
21,1.68081012065290593e-13,1.07328432776947074e-13,1.11475308983699506e-07,6.11864606980816461e-07,6.21936389813408386e-07,6.21936389813408372e+05,-1.39174332502989273e-07,8.49552066028991248e-07,8.60876339635816412e-07,8.60876339635816403e+05
22,-4.29588852174713122e-14,9.71506552024905065e-14,-5.88341379170742584e-07,-3.97075666569435271e-07,7.09799049048001259e-07,7.09799049048001296e+05,-5.88341322327323724e-07,-3.97075467617469258e-07,7.09798890633689343e-07,7.09798890633689356e+05
23,9.87049095406552417e-14,7.01939594435900702e-14,-6.82501877236063592e-07,-3.18712039870661101e-07,7.53250526893393761e-07,7.53250526893393719e+05,-1.12906718641170301e-07,-1.44399848522880347e-07,1.83301079998594038e-07,1.83301079998594039e+05
24,9.80152551620969414e-14,6.55625626100468564e-14,-1.27456860354868695e-06,2.73745996537400060e-07,1.30363423157405379e-06,1.30363423157405388e+06,-1.27456848986184923e-06,2.73745683898596326e-07,1.30363405477197225e-06,1.30363405477197235e+06
25,-6.28692592599646579e-14,1.23657187457848516e-13,-5.78387925997958519e-07,2.88412337567933719e-07,6.46308073094774959e-07,6.46308073094774969e+05,-1.65010050068303826e-07,-1.28877377392200287e-06,1.29929459898703721e-06,1.29929459898703732e+06
26,1.06194896119477277e-14,1.51105589354981619e-14,6.02274639049937832e-08,-1.01088744486332871e-07,1.17670231775482511e-07,1.17670231775482520e+05,6.02275207484126440e-08,-1.01088730275478156e-07,1.17670248661471607e-07,1.17670248661471604e+05
