index,ref_real,ref_imag,lut_real,lut_imag,lut_abs_err,lut_rel_err,fast_real,fast_imag,fast_abs_err,fast_rel_err
14,-7.51345611501599290e-15,-1.59825814214862179e-14,-9.12386197816179509e-15,-1.25359605644215569e-15,1.48167613508396804e-14,1.48167613508396814e-02,-9.12386451926063685e-15,-1.25359266831036667e-15,1.48167649950872382e-14,1.48167649950872379e-02
15,3.06276270801607596e-15,6.36064309551610312e-14,-4.87065493189400844e-14,-2.78595268870477503e-14,1.05100347819296303e-13,1.05100347819296308e-01,-4.87065527070718735e-14,-2.78595099463888052e-14,1.05100334745197976e-13,1.05100334745197976e-01
16,-9.22863851082155553e-15,5.10616167120505018e-14,-3.18655827636141198e-15,1.45770101176410927e-14,3.69815258190961646e-14,3.69815258190961671e-02,-3.18655827636141198e-15,1.45770101176410927e-14,3.69815258190961646e-14,3.69815258190961671e-02
17,-1.84738991512752055e-14,6.28462506357653298e-14,5.65113209591121268e-14,-4.46572541044822774e-14,1.31071685601580918e-13,1.31071685601580917e-01,5.65113243472439158e-14,-4.46572473282186994e-14,1.31071681982093997e-13,1.31071681982094013e-01
18,-1.98378270008273578e-14,-8.98257022276296747e-15,-8.82979331469878337e-16,2.58408711908877237e-14,3.96479296062040130e-14,3.96479296062040160e-02,-8.82980178502825591e-16,2.58408728849536182e-14,3.96479306891817544e-14,3.96479306891817582e-02
19,-4.80409641707159240e-14,3.50097868816759013e-14,-2.88203231353818812e-14,-1.43038148870972687e-14,5.29269719634357644e-14,5.29269719634357649e-02,-2.88203231353818812e-14,-1.43038182752290577e-14,5.29269751202568753e-14,5.29269751202568750e-02
20,-3.62563267698791388e-14,1.55621210129412083e-14,1.18955570694852068e-14,-3.85095770647370800e-14,7.24040913918767155e-14,7.24040913918767154e-02,1.18955570694852068e-14,-3.85095770647370800e-14,7.24040913918767155e-14,7.24040913918767154e-02
21,3.58078352754716790e-14,1.79993088827420273e-14,3.35105885098177514e-14,6.18234948640810494e-16,1.75322295731318849e-14,1.75322295731318856e-02,3.35105918979495404e-14,6.18234948640810494e-16,1.75322291291855452e-14,1.75322291291855441e-02
22,-3.47179884825232554e-15,9.93925892894591056e-14,2.56515593271763875e-14,2.90891815572357632e-14,7.60969061800645830e-14,7.60969061800645802e-02,2.56515593271763875e-14,2.90891815572357632e-14,7.60969061800645830e-14,7.60969061800645802e-02
23,-5.97206902018020033e-14,5.12085504372581555e-15,9.95832919164357788e-16,-2.79105995856353956e-14,6.91199911373720565e-14,6.91199911373720638e-02,9.95829531032568771e-16,-2.79106097500307626e-14,6.91199930185823265e-14,6.91199930185823347e-02
24,2.04174654871023436e-14,6.19669129813211689e-15,1.56175748467499501e-14,2.48169947049056705e-14,1.92290054116078860e-14,1.92290054116078871e-02,1.56175731526840555e-14,2.48169947049056705e-14,1.92290058344759538e-14,1.92290058344759540e-02
25,5.56350853051762037e-14,2.67737156383975418e-14,3.26909113386279759e-14,-2.48680165815164805e-14,5.65093233518198776e-14,5.65093233518198790e-02,3.26909113386279759e-14,-2.48680233577800586e-14,5.65093295443908073e-14,5.65093295443908072e-02
26,1.28377711016079219e-14,1.32398685115877558e-13,1.37200465561131829e-14,2.99633398875929352e-14,1.02439144676317344e-13,1.02439144676317345e-01,1.37200457090802357e-14,2.99633364994611462e-14,1.02439148057028249e-13,1.02439148057028251e-01
27,4.65010774390146425e-14,1.22918261316056982e-13,3.72049633668488505e-14,2.23726219435215271e-14,1.00974468721923320e-13,1.00974468721923324e-01,3.72049633668488505e-14,2.23726168613238435e-14,1.00974473782537378e-13,1.00974473782537377e-01
28,2.63995054221718230e-14,1.91903611636479164e-13,2.45896612262579833e-14,5.86693237394908529e-14,1.33246579721323611e-13,1.33246579721323616e-01,2.45896595321920888e-14,5.86693169632272749e-14,1.33246586519972033e-13,1.33246586519972038e-01
29,-2.52638061929522162e-14,2.31664223665528016e-13,-3.25511034684859701e-14,4.92286400988369011e-14,1.82581069262125699e-13,1.82581069262125695e-01,-3.25510966922223921e-14,4.92286367107051120e-14,1.82581072377099115e-13,1.82581072377099113e-01
30,2.01316897728742987e-14,2.79939497887234233e-13,2.79131660954655761e-15,1.96208033273383847e-14,2.60895594594488711e-13,2.60895594594488689e-01,2.79132169174424113e-15,1.96208033273383847e-14,2.60895594256701500e-13,2.60895594256701502e-01
31,7.22410186433361334e-15,6.18479754414471849e-13,1.50555481574559877e-14,8.80003264269041408e-14,5.30537232500282785e-13,5.30537232500282840e-01,1.50555566277854602e-14,8.80003128743769847e-14,5.30537246176366915e-13,5.30537246176366883e-01
32,-2.12716250921327158e-12,-5.11999999999999773e+02,-4.32960314356023446e-06,-5.12000000000000000e+02,4.32960101639773141e-06,8.45625198515182247e-09,2.26527226914186031e-05,-5.11999969482421875e+02,3.80061640059089801e-05,7.42307890740410032e-08
33,1.19024964597016247e-14,-6.60897484364063286e-13,1.50555481574559877e-14,-8.80003264269041408e-14,5.72905834590190701e-13,5.72905834590190732e-01,1.50555549337195657e-14,-8.80003128743769847e-14,5.72905848179806588e-13,5.72905848179806609e-01
