index,ref_real,ref_imag,lut_real,lut_imag,lut_abs_err,lut_rel_err,fast_real,fast_imag,fast_abs_err,fast_rel_err
51,1.29124442766501453e+01,-7.53328479633721226e+00,1.29124441146850586e+01,-7.53328800201416016e+00,3.20976593906049421e-06,2.14710103385372010e-07,1.29124393463134766e+01,-7.53328132629394531e+00,6.02904801285484121e-06,4.03299663194238115e-07
52,-2.36032299887017913e+01,1.83953474472352525e+01,-2.36032314300537109e+01,1.83953514099121094e+01,4.21666968449193592e-06,1.40908268312247843e-07,-2.36032276153564453e+01,1.83953495025634766e+01,3.13960861257210626e-06,1.04916165096545544e-07
53,3.91900509435480444e+01,1.01449827944387501e+01,3.91900482177734375e+01,1.01449823379516602e+01,2.76373437054928335e-06,6.82709380505283771e-08,3.91900405883789062e+01,1.01449832916259766e+01,1.03670981001535558e-05,2.56092452191295998e-07
54,4.50881872187968469e+01,2.89693052701852700e+01,4.50881843566894531e+01,2.89693031311035156e+01,3.57314000360366565e-06,6.66722819344411259e-08,4.50881729125976562e+01,2.89692916870117188e+01,1.97273905777169001e-05,3.68099247469136916e-07
55,-9.12120082976995405e+00,-1.09780959565514564e+01,-9.12120151519775391e+00,-1.09780931472778320e+01,2.89168282588558951e-06,2.02599916957970984e-07,-9.12119865417480469e+00,-1.09780931472778320e+01,3.55320032515244808e-06,2.48947804498737119e-07
56,2.99731427548748854e+01,-5.29788951595281343e+00,2.99731407165527344e+01,-5.29788970947265625e+00,2.04748800267269004e-06,6.72680364627512007e-08,2.99731311798095703e+01,-5.29788875579833984e+00,1.15999987876378165e-05,3.81105598858754370e-07
57,-4.29947613709119310e+01,3.08420679988495650e+01,-4.29947586059570312e+01,3.08420677185058594e+01,2.77913083366965211e-06,5.25226744951309671e-08,-4.29947433471679688e+01,3.08420600891113281e+01,1.96829699331752388e-05,3.71987605035689394e-07
58,2.81768425676708079e+00,1.86636101182851277e+01,2.81768369674682617e+00,1.86636104583740234e+01,6.55197025759762400e-07,3.47122273081943636e-08,2.81768321990966797e+00,1.86636009216308594e+01,9.25491885572689615e-06,4.90324031410790251e-07
59,1.86248317173517002e+01,2.01797981882004294e+01,1.86248359680175781e+01,2.01798000335693359e+01,4.63395584865559074e-06,1.68746565161686790e-07,1.86248283386230469e+01,2.01797885894775391e+01,1.01760153516722875e-05,3.70561933196985375e-07
60,3.08600119821139209e+01,-6.43620253544621512e+00,3.08600120544433594e+01,-6.43620300292968750e+00,4.73045816608417235e-07,1.50058758259450582e-08,3.08600025177001953e+01,-6.43620109558105469e+00,9.57331389070750680e-06,3.03682972014672369e-07
61,1.97366254167826227e+00,4.51416574888466329e+01,1.97366333007812500e+00,4.51416549682617188e+01,2.64100788579922081e-06,5.84490558527123731e-08,1.97367477416992188e+00,4.51416511535644531e+01,1.37756906360184073e-05,3.04874557824602896e-07
62,5.56399522851823036e+00,-1.48465319959572355e+01,5.56399583816528320e+00,-1.48465299606323242e+01,2.12466868558307967e-06,1.34007149103866966e-07,5.56399059295654297e+00,-1.48465356826782227e+01,5.92286618072802588e-06,3.73567143333339164e-07
63,-3.02469862153097893e+01,3.78571502404262183e+00,-3.02469825744628906e+01,3.78571414947509766e+00,3.74441377169223786e-06,1.22836228221465958e-07,-3.02469787597656250e+01,3.78571796417236328e+00,8.01433101897793103e-06,2.62911701033680881e-07
64,-8.13902472877916061e+00,-2.62101229250419863e+01,-8.13902568817138672e+00,-2.62101249694824219e+01,2.25835562706095283e-06,8.22873474873088963e-08,-8.13902378082275391e+00,-2.62101230621337891e+01,9.57818099331819515e-07,3.48998668876272313e-08
65,3.18880193867120028e+01,3.80639026797268869e+01,3.18880214691162109e+01,3.80638961791992188e+01,6.82592610937578775e-06,1.37464607242677928e-07,3.18880157470703125e+01,3.80639038085937500e+01,3.81068655599647691e-06,7.67418988063016082e-08
66,4.53233683289368461e+00,5.26884051530001862e+00,4.53233337402343750e+00,5.26884174346923828e+00,3.67044725046509830e-06,5.28120498609674304e-07,4.53233623504638672e+00,5.26884555816650391e+00,5.07818114879580751e-06,7.30671598670286332e-07
67,-1.09603927156371572e+01,9.98181962392202582e-01,-1.09603900909423828e+01,9.98181939125061035e-01,2.62479790054352945e-06,2.38493282007062462e-07,-1.09603939056396484e+01,9.98181819915771484e-01,1.19850134022166051e-06,1.08897724301035779e-07
68,7.13034846131655797e+00,6.33092056033270723e+01,7.13034629821777344e+00,6.33092079162597656e+01,3.16680501384677691e-06,4.97069697121445615e-08,7.13035202026367188e+00,6.33091964721679688e+01,9.80021281060005369e-06,1.53826610485667814e-07
69,2.25334265897557060e+01,1.50777771537405272e+01,2.25334262847900391e+01,1.50777807235717773e+01,3.58283396386691608e-06,1.32146310832869958e-07,2.25334243774414062e+01,1.50777797698974609e+01,3.42616573780805210e-06,1.26367888414415397e-07
